district,mandal,village,unit_name,line_of_activity,sector,investment,number_of_employees,application_date,approval_date,progress_of_implementation,in_online,social_status
Warangal,Sangam,Kapulakanaparthy,M/s NSK INDUSTRIES,Rice mill (Rice hullers only),Food Processing,1.0,9,08/12/2021,29/01/2022,Yet to Start Construction,Yes,OBC
Mancherial,Luxettipet,Kothur,M/s SRI KANAKA DURGA CLC BRICKS,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,6,24/01/2022,29/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Shabad,Kakloor,M K VENTURESS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,18,20/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Hayathnagar,Kuntlur,KARAN INDUSTRIES,Oil mill ghani & extraction ( no hydrogenation / refining),Food Processing,1.3307,4,19/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Yadadri,Rajapet,Challur,M/S.SRIENI DEVELOPERS,Stone crushers,Granite and Stone Crushing,0.85,5,17/01/2022,29/01/2022,Yet to Start Construction,Yes,General
Siddipet,Thoguta,Thoguta,M BHUPAL REDDY BROILER POULTRY FARM,Fish processing and packing (excluding chilling of fishes),Food Processing,0.2,6,27/01/2022,28/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Patancheru,Zodiac Life Sciences Private Limited,Manufacturing of Silica Gel,Pharmaceuticals and Chemicals,12.42,40,04/01/2022,28/01/2022,Yet to Start Construction,Yes,General
Nizamabad,Dichpalle,Mittapalle,M/s BROILER POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.11,2,20/01/2022,28/01/2022,Yet to Start Construction,Yes,SC
Rangareddy,Saroornagar,Karmanghat,RIKZA PLASTO TECH,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,5,24/01/2022,28/01/2022,Yet to Start Construction,Yes,General
Medchal,Medchal,Medchal,ASTHA PROFILES PRIVATE LIMITED,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,1.0,20,20/01/2022,28/01/2022,Yet to Start Construction,Yes,General
Wanaparthy,Peddamandadi,Veeraipalle,SRI MALLIKARJUNA INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.865,15,12/01/2022,28/01/2022,ADVANCED STAGE,Yes,General
Nalgonda,Narketpalle,Narketpalle,VB POULTRY FARM(UNIT-II),"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,1.0,6,03/07/2020,28/01/2022,Yet to Start Construction,Yes,SC
Nalgonda,Narketpalle,Cherughat,VB POULTRY FARM(UNIT-I),"Fish feed, poultry feed and cattle feed",Agro based incl Cold Storages,1.0,6,03/07/2020,28/01/2022,Yet to Start Construction,Yes,SC
Jagtial,Pegadapalle,Bathkepalle,M/S. HARSHA POULTRY FARM,Flour mills (dry process),Food Processing,0.12,2,15/01/2022,28/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Serilingampally,KONDAPUR,VENKATRAMANA MOTORS,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.15,10,11/01/2022,28/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Madgul,Kulkulpalle,DESHMUKH FERROCAST LLP,Steel and steel products using various furnaces like blast furnace open hearth furnace/ induction furnace/ arc furnace/ submerged arc furnace /basic oxygen furnace/hot rolling reheated furnace,Engineering,4.1,50,06/10/2020,28/01/2022,Yet to Start Construction,Yes,General
Siddipet,Kondapak,Sirsingandla,JAI HANUMAN INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.25,8,27/12/2021,28/01/2022,Yet to Start Construction,Yes,OBC
Wanaparthy,Gopalpeta,Chennur,NAVYA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.8113,18,12/01/2022,27/01/2022,ADVANCED STAGE,Yes,General
Medak,Manoharabad,Kondapur,M/S. RUDRAKSHA ENTERPRISES,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,7,10/12/2021,27/01/2022,Yet to Start Construction,Yes,General
Khammam,Chinthakani,Kodumuru,"""N"" Cold Storage","Chilling plant, cold storage and ice making",Agro based incl Cold Storages,0.21,15,25/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Siddipet,Wargal,Mylaram,M/S SREE VANI RICE INDUSTRIES,Rice mill (Rice hullers only),Food Processing,0.71,8,04/09/2020,27/01/2022,Yet to Start Construction,Yes,General
Narayanpet,Krishna,Krishna (Hindupur),M/s. Devsristi Bio Fuels Private Limited,Distillery ( molasses / grain /yeast based),Beverages,250.0,200,06/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Hayathnagar,Bagh Hayathnagar,Shams Auto Electricals,Diesel pump repairing and servicing ( complete mechanical dry process),Engineering,0.1628,6,24/01/2022,27/01/2022,Yet to Start Construction,Yes,OBC
Mahbubnagar,Jadcherla,Jadcherla,JIBSS VET PHARMACEUTICALS PRIVATE LIMITED,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,2.61,25,12/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Wanaparthy,Ghanpur,Malkimianpalle,M/s Sri Balaji Rice Mill,Rice mill (Rice hullers only),Food Processing,0.9225,10,18/12/2021,27/01/2022,ADVANCED STAGE,Yes,General
Kamareddy,Yellareddy,Sivapur,ALOORI RAJITHA,Fish processing and packing (excluding chilling of fishes),Food Processing,0.06,2,17/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Khammam,Khammam (Rural),Gudimalla,POOJA POULTRY AND DAIRY FARM,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.2546,3,21/01/2022,27/01/2022,Yet to Start Construction,Yes,SC
Jangaon,Raghunathpalle,Nidigonda,Reddy Chick Growing Farms,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.17,2,19/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Jangaon,Raghunathpalle,Madharam,Bharathi Poultry Farm,"Dairy Farm (Stand-alone or isolated dairy farm, having 15 animals & above)",Others,0.12,2,19/01/2022,27/01/2022,Yet to Start Construction,Yes,OBC
Jangaon,Raghunathpalle,Quileshapur,Bhanu Agro Farms,Dairy and dairy products ( small scale),Food Processing,0.19,4,19/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Jagtial,Ibrahimpatnam,Ibrahimpatnam,M/S. LAXMI POULTRY FARM,Flour mills (dry process),Food Processing,0.25,4,18/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Jangaon,Jangaon,JANGAON,EK Minar Water Plant,Mineralized water,Beverages,0.029,2,22/01/2022,27/01/2022,Yet to Start Construction,Yes,General
Jangaon,Jangaon,JANGAON,Renuka Ellamma Water Plant,Mineralized water,Beverages,0.029,1,22/01/2022,27/01/2022,Yet to Start Construction,Yes,SC
Yadadri,Bibinagar,Kondamadugu,ANIL WOOD PAC INDUSTRY,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,0.24,15,21/01/2022,26/01/2022,Yet to Start Construction,Yes,General
Khammam,Wyra,Somavaram,HG INFRA ENGINNERING PRIVATE LIMITED,Hot mix plants,Granite and Stone Crushing,2.82,350,11/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Medak,Chegunta,Rukmapur,MAVEE FOODS UNIT-II,Food and food processing including fruits and vegetable processing,Food Processing,3.495,20,17/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Hanumakonda,Hanamkonda,Hanamkonda,PPS MOTORS PRIVATE LIMITED,"Automobile servicing, repairing andpainting (excluding only fuel dispensing)",Engineering,0.3,50,17/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Jagtial,Ibrahimpatnam,Vemulakurthi,SRI LAXMI NARASIMHA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.18,5,17/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Jagtial,Ibrahimpatnam,Vemulakurthi,GANGA REDDY POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.18,5,17/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Jagtial,Koratla,Yakeenpur,M/s. BALRAJU POULTRY FARM & FEED MIXING,Food and food processing including fruits and vegetable processing,Food Processing,0.23,8,12/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,CDG PETCHEM LIMITED,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,3.7181,15,07/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Mancherial,Naspur,Teegalpahad,M/s MUNISHWARI OLD PLASTIC & BOTTLE SHOP,Reprocessing of waste plastic Including PVC,Plastic and Rubber,0.1,5,14/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Mancherial,Mancherial,Mancherial,M/S. AMULYA ENTERPRISES,Mineralized water,Beverages,0.15,9,19/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Mancherial,Mancherial,Garmilla,M/S. CHILUKURI FLY ASH BRICK INDUSTRY,Fly ash bricks/ block manufacturing,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.21,5,19/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Nirmal,Kuntala,Kallur,KISAN INDUSTRY,Spice grinding (>20 hp motor),Food Processing,0.16,4,21/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Nirmal,Kuntala,Kallur,A1 ENGEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.04,4,21/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Yadadri,Choutuppal,Dandumalkapur,RAINS INDUSTRIES,Cotton and woolen hosiers making ( Dry process only without any dying / washing operation),Textiles,2.26,7,02/11/2021,25/01/2022,Yet to Start Construction,Yes,General
Medchal,Uppal,Nacharam,SURI ENGINEERS PVT LTD,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.65,20,17/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Mahabubabad,Gudur,Ponugodu,HARIKRISHNA CHARY WOOD WORKS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.07,4,19/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Mahabubabad,Gudur,Ayodhyapur,BHEESHMACHARY WOOD WORKS,"Carpentry & wooden furniture manufacturing (excluding saw mill) with the help of electrical (motorized) machines such as electrical wood planner, steel saw cutting circular blade, etc",Wood and Leather,0.065,4,19/01/2022,25/01/2022,Yet to Start Construction,Yes,OBC
Narayanpet,Krishna,Gudebellur,M/S SLN Industries,Rice mill (Rice hullers only),Food Processing,0.94,10,14/01/2022,25/01/2022,Yet to Start Construction,Yes,General
Nalgonda,Dameracherla,Kondrapole,M/s. Srinivasa Industry,Reprocessing of waste plastic Including PVC,Plastic and Rubber,0.21,6,31/12/2021,25/01/2022,Yet to Start Construction,Yes,SC
Medchal,Dundigal Gandimaisamma,Gagilapur,PRIME BUILDING PRODUCTS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.25,20,21/01/2022,24/01/2022,Yet to Start Construction,Yes,General
Medchal,Medchal,Medchal,HEROTECH ELECTRICALS PVT. LTD,Engineering without Painting Activity,Others,0.65,20,22/01/2022,24/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Patancheru,OASIS POLY TAPE,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,0.25,15,21/11/2021,24/01/2022,COMMENCED OPERATIONS,Yes,General
Sangareddy,Jinnaram,Bollaram,URBANRISE LIFE STYLES PVT LTD,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,10,29/12/2021,24/01/2022,Yet to Start Construction,Yes,General
Medak,Regode,Lingampally,BHAGYALAKSHMI HATCHERIES,Food and food processing including fruits and vegetable processing,Food Processing,4.8,30,11/01/2022,24/01/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Gajularamaram,GREENOVEL LIFE SCIENCES PVT LTD,Pharmaceutical Formulation for R & D purpose (for sustained release/extended release of drugs only and not for commercial purpose),R&D,0.75,10,06/10/2021,24/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Chowdergudem,Chowdergudem (Jilled),M/S. G M STONE METALS,Stone crushers,Granite and Stone Crushing,0.25,10,12/01/2022,23/01/2022,Yet to Start Construction,Yes,General
Medchal,Shamirpet,Ponnal,BHRUNDA INFRA PRIVATE LIMITED,Construction & Demolition (C&D) waste Processing Plants,Others,0.23,70,12/01/2022,23/01/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Gajularamaram,ASSOCIATION OF LADY ENTREPRENEURS OF INDIA,Bakery /confectionery /sweets products (with production capacity less than 1 tpd (with gas or electrical oven),Food Processing,0.2,5,12/01/2022,23/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Maheswaram,M/S. DEEPIKA CONSTRUCTIONS,Ready mix cement concrete,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.0,5,12/01/2022,23/01/2022,Yet to Start Construction,Yes,General
Sangareddy,Patancheru,Pashamylaram,M/S. NANDI PAPER BAGS PRIVATE LIMITED,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,8,13/01/2022,23/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Shankarapatnam,Molangur,MANAIR MODERN RICE MILL,Rice mill (Rice hullers only),Food Processing,0.44,8,11/12/2021,22/01/2022,Yet to Start Construction,Yes,OBC
Khammam,Tallada,Mittapalle,SRI VENKATESWARA BINNY RICE MILL,Rice mill (Rice hullers only),Food Processing,0.392,5,10/01/2022,22/01/2022,Yet to Start Construction,Yes,OBC
Karimnagar,Chigurumamidi,Indurthi,M/S. MANOHAR FLOUR MILL,Flour mills (dry process),Food Processing,0.12,2,06/09/2021,22/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Hayathnagar,Chinnaravirala,ROCK CRUSHING INDIA PVT LTD,Stone crushers,Granite and Stone Crushing,1.5,20,27/12/2021,22/01/2022,Yet to Start Construction,Yes,General
Bhupalpally,Chityal,Ramakistapur (T),Mallikarjuna Oil Mill and Flour Mill,Flour mills (dry process),Food Processing,0.06,4,18/01/2022,22/01/2022,Yet to Start Construction,Yes,General
Medak,Tupran,Jeedipalle,NIDHI SEEDS PVT LTD,Steeping and processing of grains,Food Processing,2.559,20,11/01/2022,22/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Karimnaga Rural,Durshed,SRI RAMA RICE MILL,Rice mill (Rice hullers only),Food Processing,0.95,10,06/10/2021,22/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Karimnagar,Khazipur,GARUDA DHWAJA GRANITES & EXPORTS,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,1.8,15,29/03/2019,22/01/2022,Yet to Start Construction,Yes,SC
Karimnagar,Kothapally,Asifnagar,SHRI AMBIKAA GRANITES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.97,15,04/10/2021,22/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Kandukur,Pulumamidi,Z ENVIRO INDUSTRIES PRIVATE LIMITED,Reprocessing of waste plastic Including PVC,Plastic and Rubber,1.25,15,25/12/2021,22/01/2022,Yet to Start Construction,Yes,OBC
Medchal,Medchal,Kistapur,Stylistic Packaging Industries Pvt. Ltd.,"Gravure printing, digital printing on flex, vinyl",Paper and Printing,1.44,6,04/10/2021,22/01/2022,Yet to Start Construction,Yes,General
Siddipet,Husnabad,Mallampalle,BHAVANI SEEDS AND PROCESSERS,Steeping and processing of grains,Food Processing,1.415,20,26/03/2021,22/01/2022,Yet to Start Construction,Yes,General
Medak,Manoharabad,Muppireddipalle,"V.V.L Enterprises.,",Phenyl/toilet cleaner formulation and bottling,Pharmaceuticals and Chemicals,0.05,3,24/11/2021,22/01/2022,Yet to Start Construction,Yes,OBC
Khammam,Penuballi,Chintagudem,KMV Projects Ltd,Hot mix plants,Granite and Stone Crushing,4.2704,250,03/01/2022,22/01/2022,Yet to Start Construction,Yes,General
Narayanpet,Utkoor,Venkatapur,STRATOS PROJECTS PVT. LTD.,Petrochemicals (Manufacture of and not merely use of as raw material),Pharmaceuticals and Chemicals,1.8,10,01/11/2021,22/01/2022,Yet to Start Construction,Yes,General
Khammam,Chinthakani,Repallivada,GAYATHRI GRAMEENA GODOWNS,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.2425,3,14/01/2022,22/01/2022,Yet to Start Construction,Yes,General
Khammam,Chinthakani,Repallivada,ANNAPOORNA GRAMEENA GODOWNS,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.2481,3,13/01/2022,22/01/2022,Yet to Start Construction,Yes,General
Nagarkurnool,Veldanda,Kotra,SRI VENKATESWARA PRODUCTS(S.V PRODUCTS),Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.25,0,12/01/2022,22/01/2022,Yet to Start Construction,Yes,OBC
Khammam,Yerrupalem,Mamunuru,AKKANNA FEEDS,Food and food processing including fruits and vegetable processing,Food Processing,0.38,6,06/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Siddipet,Jagdevpur,Cheberthy,K NAVEEN KUMAR RURAL GODOWN,"Facility of handling, storage and transportation of food grains in bulk",Agro based incl Cold Storages,0.25,6,21/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Yadadri,Rajapet,Bondugula,DURGA MATHA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.25,4,06/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Patancheru,Patancheru,SHRIJI KRAFT DECORATORS PRIVATE LIMITED,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,3.3629,15,11/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Khammam,Kusumanchi,Kusumanchi,VIRAT ENGINEERING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.04,3,18/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Gambhiraopet,Dammannapet,M/s. VARSHITH BROILER POULTRY FARM & FEED MIXING,Food and food processing including fruits and vegetable processing,Food Processing,0.245,6,11/01/2022,21/01/2022,Yet to Start Construction,Yes,ST
Sircilla,Yellareddipet,Dumala,M/s. JAI SEVALAL BROILER POULTRY FARM&FEED MIXING,Food and food processing including fruits and vegetable processing,Food Processing,0.23,6,07/01/2022,21/01/2022,Yet to Start Construction,Yes,ST
Sircilla,Gambhiraopet,Gajasingaram,M/s. SRI CHAITHANYA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.235,6,09/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Mustabad,Namapur,M/s. LAXMAIAH POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.235,6,09/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Mustabad,Aunoor,M/s. SRI LAXMINARASIMHA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.24,6,09/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Gambhiraopet,Kothapalle,M/s. RENUKA MATHA POULTRY FARM,Food and food processing including fruits and vegetable processing,Food Processing,0.23,6,09/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Medchal,Uppal,Nacharam,HOME FULL FURNITURE,"Modular wooden furniture from particle board, MDF< swan timber etc, Ceiling tiles/ partition board from saw dust, wood chips etc., and other agricultural waste using synthetic adhesive resin, wooden box making ( With boiler)",Wood and Leather,0.25,15,20/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Kamareddy,Bibipet,Issanagar (Upparpally),MANNE SWAMY,Fish processing and packing (excluding chilling of fishes),Food Processing,0.15,5,23/12/2021,21/01/2022,Yet to Start Construction,Yes,OBC
Vikarabad,Tandur,Allapur .S.,WASEEMUDDIN STONE INDUSTRIES,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.13,5,13/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Medchal,Qutubullapur,Jeedimetla,VIKAS PACKAGING,Cardboard or corrugated box and paper products (excluding paper or pulp manufacturing and without using boilers),Paper and Printing,0.22,5,13/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Vikarabad,Tandur,Goutapur,MOHAMMED ATHER ALI STONE INDUSTRY,"Cutting, sizing and polishing of marble stone",Granite and Stone Crushing,0.225,5,15/01/2022,21/01/2022,Yet to Start Construction,Yes,General
Vikarabad,Peddemul,Tattapalle,M/S. LAXMI NARSIMHA SWAMY FLOUR MILL,Flour mills (dry process),Food Processing,0.02,2,13/01/2022,21/01/2022,Yet to Start Construction,Yes,OBC
Sircilla,Gambhiraopet,Samudralingapuram,M/s. VARALAXMI BROILER POULTRY FARM & FEED MIXING,Food and food processing including fruits and vegetable processing,Food Processing,0.21,6,05/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Rangareddy,Saroornagar,Saroornagar,SKYROOT AEROSPACE PRIVATE LIMITED,Electrical and electronic item assembling ( completely dry process),Electrical and Electronic Products,10.0,90,19/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Rangareddy,Maheswaram,Mankhal,MNR INDUSTRIES,Polythene and plastic processed products manufacturing(Virgin Plastic),Plastic and Rubber,1.3377,10,11/12/2021,20/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Kothapally,Khazipur,CHARU STONE,Granite / Stone Cutting and Polishing,Others,0.21,10,12/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
Sangareddy,Kondapur,Terpole,CONGRUENT REMEDIES PVT LTD,Pharmaceuticals,Pharmaceuticals and Chemicals,31.9756,100,13/01/2022,20/01/2022,Yet to Start Construction,Yes,General
Karimnagar,Karimnagar,Karimnagar,M/s. SRI RAMA WELDING WORKS,Engineering and fabrication units (dry process without any heat treatment / metal surface finishing operations / painting),Engineering,0.1,2,12/01/2022,20/01/2022,Yet to Start Construction,Yes,OBC
